name,part,way,img,detail
스트로베리 샐러드,반찬,기타,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00087_1.png,"스트로베리 샐러드
딸기 70g(7개), 플레인요거트 85g(1개), 양상추 70g(2장), 메추리알 30g(3개), 블루베리 15g(1큰술), 식초 약간, 소금 약간"
유자꿀드레싱을 곁들인 곤드레 단호박 크로켓 샐러드,반찬,튀기기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00088_1.png,"저염리코타치즈
저지방우유 200ml(1컵), 생크림 30g(2큰술), 레몬즙 15g(1큰술)
곤드레단호박크로켓 샐러드
곤드레나물 40g, 단호박 70g(8ⅹ7cm), 달걀 50g(1개), 빵가루 30g(2큰
술), 꿀 15g(1큰술)
곁들임
잎채소 30g
유자꿀 드레싱
유자청 45g(3큰술), 꿀 15g(1큰술), 식초 40ml(2½큰술), 물 30ml(2큰술)"
시금치 우유 소스와 그린매쉬드포테이토,반찬,찌기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00089_1.png,"그린매쉬드포테이토
감자 80g(1/2개), 시금치우유 소스 5g(1작은술), 아몬드 2g(1알), 설탕 2g(1/3작은술), 크랜베리 3g, 치커리 약간
시금치우유 소스
시금치 10g, 우유 10g(2작은술)"
모과 소스를 곁들인 채소두부,반찬,굽기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00090_1.png,"채소두부
두부 100g(1/3모), 양상추 40g(1장), 방울토마토 40g(4개), 치커리 10g(3줄기), 적양배추 10g(3×3cm), 잣 5g(5알), 새싹채소 15g, 올리브유 15g(1큰술)
모과 드레싱
모과원액 50g(3⅓큰술), 배 30g(1/8개), 식초 35g(2⅓큰술),
레몬즙 20g(1⅓큰술), 설탕 7g(1/2큰술), 청피망 2g(1/3작은술),
빨강 파프리카 2g(1/3작은술)"
버섯구이와 두부타르타르 소스,반찬,굽기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00091_1.png,"버섯구이
새송이버섯 70g(7개), 올리브유 10g(2작은술)
곁들임
치커리 10g(3줄기)
두부타르타르 소스
연두부 30g(1/4모), 다진 양파 10g(2작은술), 다진 오이피클 10g(2작은술), 올리브유 2g(1/3작은술), 식초 5g(1작은술), 레몬즙 3g(2/3작은술), 머스터드 3g(2/3작은술), 꿀 2g(1/3작은술), 흰 후추 약간"
새우살 두부완자 샐러드와 매실 생강 소스,반찬,굽기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00092_1.png,"새우살 두부완자
두부 60g(1/6모), 새우살 30g(7마리), 빵가루 12g(1큰술), 다진 빨강 파프리카 5g(1작은술), 부추 2g(1줄기), 소금 약간, 올리브유 약간
곁들임
새싹채소 10g, 방울토마토 40g(4개)
매실생강 드레싱
매실액 40g(2⅔큰술), 생강즙 5g(1작은술), 물 20ml(1⅓큰술)"
구운채소와 간장레몬 소스,반찬,굽기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00093_1.png,"구운채소
가지 20g(3cm), 호박 50g(1/3개), 새송이버섯 15g(3개)
양파 15g(1/8개), 발사믹크레마 15g(1큰술), 빨강 파프리카 3g(3×1cm), 노랑 파프리카 3g(3×1cm), 청피망 3g(3×1cm), 올리브유 약간
간장 레몬 소스
저염간장 5g(1작은술), 식초 15g(1큰술), 설탕 10g(1큰술), 레몬즙 5g(1작은술)"
브로콜리 컬리플라워 샐러드와 두유 요거트 소스,반찬,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00094_1.png,"브로콜리컬리플라워 샐러드
브로콜리 40g(1/5송이), 컬리플라워 40g(1/3송이), 적양파 10g(2×1cm), 강낭콩 5g(1작은술), 건포도 5알, 호두 1/2알, 소금 약간
두유요거트 소스
두유 50g(3⅓큰술), 플레인요거트 20g(1⅓큰술), 레몬즙 5g(1작은술), 설탕 약간"
비빔 메밀냉채,일품,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00056_1.png,"메밀국수
메밀국수 200g
곁들임
빨강 파프리카 45g(1/3개), 주황 파프리카 45g(1/3개), 당근 20g(5×3×2cm), 오이 20g(4cm), 깻잎 4g(2장), 적양배추 15g(3×2×1cm), 비타민 15g
냉채소스
겨자가루 50g(3⅓큰술), 식초 125g(2/3컵), 설탕 10g(2작은술), 저염간장 10g(2작은술), 소금 약간"
약재 소스를 곁들인 닭가슴살롤,반찬,굽기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00048_1.png,"닭가슴살롤
닭가슴살 100g, 우유 100g(1/2컵), 식용유 10g(2작은술)
찹쌀 50g, 참기름 5g(1작은술), 소금 약간
곁들임
은행 6개
약재 소스
밤 20g(2알), 대추 10g(4개), 황기 10g, 감자전분 15g(1큰술), 간장 15g(1큰술), 쌀뜨물 500ml(2½컵), 소금 약간"
사과 레몬 대구 구이,반찬,굽기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00049_1.png,"대구구이
대구(손질된 것) 90g(2토막), 밀가루 10g(2작은술), 식용유 10g(2작은술)
사과레몬 소스
사과 50g(1/3개), 레몬즙 25g(1⅔큰술), 후추 약간
곁들임
사과 10g(1/2쪽), 레몬 15g(1쪽)"
유자 소스 동태살 구이,반찬,굽기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00050_1.png,"동태살 구이
동태살 60g(2토막), 올리브유 8g(1⅔작은술), 식초 10g(2작은술), 바질 약간, 달걀 60g(1개)
곁들임
청피망 10g(1/8개), 홍피망 10g(1/8개), 미니새송이버섯 20g(2개), 양파 20g(1/6개), 당근 10g(5×3×1cm), 호박 10g(폭5×두께1cm), 올리브유 약간
유자 소스
유자청 20g(1⅓큰술), 물 10ml(2작은술)
발사믹 소스
발사믹식초 20g(1⅓큰술), 물 10ml(2작은술)"
비네그레트 드레싱을 이용한 관자요리,반찬,굽기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00051_1.png,"관자구이
조개관자 100g(3개), 그린올리브 10g(2개)
비네그레트 드레싱
올리브유 15g(1큰술), 레몬즙 10g(2작은술), 다진 마늘 5g(1쪽), 빨강 파프리카 10g(1/10개), 노랑 파프리카 10g(1/10개), 청 피망 10g(1/8개), 양파 10g(1/8개), 홍초 7g(1/2큰술), 설탕 5g(1작은술), 핫소스 5g(1작은술), 흰 후추 약간, 바질 약간"
곤드레도우와 레몬허니 소스 피자,일품,굽기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00052_1.png,"토핑
곤드레나물 30g, 피자치즈 30g(2큰술), 리코타치즈 100g, 파인애플 40g(링1/2개), 단호박 50g(8×5cm), 느타리버섯 50g(6가닥), 올리브유 약간
곤드레도우
곤드레나물 20g, 중력분 150g, 따뜻한 물 80ml(5⅓큰술)
레몬허니 소스
꿀 30g(2큰술), 레몬즙 15g(1큰술)"
청국장 실곤약 파스타,일품,볶기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00053_1.png,"실곤약 국수
실곤약 150g, 노랑 파프리카 20g(1/6개), 빨강 파프리카 20g(1/6개), 당근 20g(5×3×2cm), 느타리버섯 20g(3가닥), 청고추 6g(1/2개), 방울토마토 20g(2개)
실곤약 양념
청국장가루 3g(2/3작은술), 올리브유 10g(2작은술), 다진 마늘 5g(1작은술), 저염간장 6g(1작은술), 후추약간
곁들임
새싹채소 6g, 어린잎채소 2g"
고소하고 담백한 너트국수,일품,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00054_1.png,"콩국물
검은콩 120g(1컵), 땅콩 30g(15알), 참깨 10g(2작은술), 잣 20g(20알),
물 450ml(2¼컵) 또는 콩삶은 물 450ml(2¼컵)
국수반죽
중력분 250g, 물 75ml(5큰술), 소금 약간
고명
달걀 50g(1개), 오이 20g(1/7개), 방울토마토 30g(3개)"
메밀꽃 필 국수,일품,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00055_1.png,"메밀국수
마른메밀국수 70g
튀김
마 50g(5×5cm), 호박고구마 50g(1/3개), 메밀가루 약간, 식용유 200ml
멸치육수
무 125g(5×5×4cm, 3조각), 다시마 20g(10×10cm, 2조각), 멸치 20g(8마리), 사과 50g(1/4개), 배 50g(1/5개), 양파 50g(1/3개), 마늘 10g(2쪽), 저염간장 20g(1⅓큰술), 감초액 15g(1큰술), 유부 약간
고명
홍고추 3g(1/4개), 대파 약간"
적양배추 순두부 푸딩,후식,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00106_1.png,"순두부 푸딩
순두부 50g(1/6봉지), 우유 75g(5큰술), 생크림 25g(1⅔큰술), 꿀 35g(2⅓큰술), 판젤라틴 2장, 바닐라에센스 약간
적양배추 푸딩
적양배추 100g(10×5cm 8장), 꿀 35g(2⅓ 큰술), 판젤라틴 2장
라즈베리 소스
라즈베리 8g(1큰술), 설탕 50g(5큰술), 물 100ml(1/2컵)
곁들임
애플민트 약간"
청포묵을 이용한 사과오렌지 젤리,후식,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00107_1.png,"사과오렌지 젤리
사과 200g(1개), 오렌지 200g(1개), 청포묵 가루 30g(2큰술), 물 100ml(1/2컵),
플레인 요거트 100g(1개)"
오렌지 당근펀치,후식,기타,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00108_1.png,"오렌지 당근펀치
당근 100g(1/2개), 오렌지 100g(1/2개), 물 50ml(1/4컵)"
누룽지 요거트 파르페,후식,기타,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00109_1.png,"누룽지
밥 210g(1공기)
요거트파르페
오렌지 40g(1/5개), 사과 30g(1/5개), 요거트 200g(1컵), 블루베리 30g(2큰술)"
